course,country,distance,distance_yards,surface,races,valid_times,median_seconds,stdev_seconds,stdev_per_furlong
Punchestown,Eire,1m 1f 58y,2038,TURF,5,5,121.390,1.077,0.116
Punchestown,Eire,1m 7f 165y,3465,TURF,1,1,265.800,-,-
Punchestown,Eire,2m,3520,TURF,2,2,240.000,0.000,0.000
Punchestown,Eire,2m 44y,3564,TURF,1,1,260.400,-,-
Punchestown,Eire,3m 213y,5493,TURF,2,2,385.750,8.556,0.343
Redcar,ENG,5f,1100,TURF,29,29,57.660,0.902,0.180
Redcar,ENG,5f 217y,1317,TURF,48,48,70.595,1.059,0.177
Redcar,ENG,7f,1540,TURF,39,39,83.670,1.805,0.258
Redcar,ENG,7f 219y,1759,TURF,43,43,96.010,1.633,0.204
Redcar,ENG,1m 1f,1980,TURF,3,3,113.950,0.387,0.043
Redcar,ENG,1m 2f 1y,2201,TURF,37,37,125.450,2.219,0.222
Redcar,ENG,1m 5f 218y,3078,TURF,12,12,183.375,2.169,0.155
Redcar,ENG,1m 7f 217y,3517,TURF,2,2,211.930,0.212,0.013
Ripon,ENG,5f,1100,TURF,29,29,58.670,0.908,0.182
Ripon,ENG,6f,1320,TURF,73,73,71.750,1.262,0.210
Ripon,ENG,1m,1760,TURF,41,41,100.340,2.006,0.251
Ripon,ENG,1m 1f 170y,2150,TURF,28,28,123.705,2.358,0.241
Ripon,ENG,1m 2f 190y,2390,TURF,6,6,141.685,3.290,0.303
Ripon,ENG,1m 4f 10y,2650,TURF,18,18,156.870,2.945,0.245
Ripon,ENG,2m,3520,TURF,5,5,211.150,3.451,0.216
Roscommon,Eire,7f 94y,1634,TURF,18,18,93.960,2.534,0.341
Roscommon,Eire,7f 111y,1651,TURF,21,21,93.290,2.267,0.302
Roscommon,Eire,1m 2f 63y,2263,TURF,10,10,136.135,2.952,0.287
Roscommon,Eire,1m 2f 94y,2294,TURF,1,1,136.760,-,-
Roscommon,Eire,1m 2f 95y,2295,TURF,5,5,137.100,4.913,0.471
Roscommon,Eire,1m 4f 17y,2657,TURF,15,15,161.610,8.528,0.706
Roscommon,Eire,1m 4f 46y,2686,TURF,8,8,160.455,5.009,0.410
Roscommon,Eire,1m 4f 48y,2688,TURF,2,2,164.480,0.976,0.080
Royal Ascot,ENG,5f,1100,TURF,9,9,59.190,0.628,0.126
Royal Ascot,ENG,6f,1320,TURF,11,11,72.080,0.787,0.131
Royal Ascot,ENG,7f,1540,TURF,6,6,85.310,1.204,0.172
Royal Ascot,ENG,7f 213y,1753,TURF,6,6,98.540,0.482,0.061
Royal Ascot,ENG,1m,1760,TURF,10,10,98.635,1.107,0.138
Royal Ascot,ENG,1m 1f 212y,2192,TURF,8,8,124.850,0.978,0.098
Royal Ascot,ENG,1m 3f 211y,2631,TURF,10,10,148.825,0.740,0.062
Royal Ascot,ENG,1m 6f 34y,3114,TURF,4,4,180.300,1.307,0.092
Royal Ascot,ENG,2m 3f 210y,4390,TURF,4,4,259.735,4.045,0.203
Royal Ascot,ENG,2m 5f 143y,4763,TURF,2,2,286.805,1.747,0.081
Salisbury,ENG,5f,1100,TURF,12,12,61.100,1.440,0.288
Salisbury,ENG,6f,1320,TURF,49,49,75.380,1.688,0.281
Salisbury,ENG,6f 213y,1533,TURF,28,28,89.475,2.104,0.302
Salisbury,ENG,1m,1760,TURF,25,25,104.210,2.533,0.317
Salisbury,ENG,1m 1f 201y,2181,TURF,31,31,129.390,3.034,0.306
Salisbury,ENG,1m 4f 5y,2645,TURF,16,16,157.160,2.730,0.227
Salisbury,ENG,1m 6f 44y,3124,TURF,11,11,187.650,5.302,0.373
Sandown,ENG,5f 10y,1110,TURF,33,33,62.250,1.908,0.378
Sandown,ENG,7f,1540,TURF,29,29,91.120,2.355,0.336
Sandown,ENG,1m,1760,TURF,40,40,104.235,2.977,0.372
Sandown,ENG,1m 1f,1980,TURF,2,2,117.100,1.937,0.215
Sandown,ENG,1m 1f 209y,2189,TURF,46,46,129.930,3.576,0.359
Sandown,ENG,1m 6f,3080,TURF,11,11,188.220,4.652,0.332
Sandown,ENG,2m 50y,3570,TURF,4,4,219.375,1.907,0.118
Sligo,Eire,5f 208y,1308,TURF,3,3,76.120,0.803,0.135
Sligo,Eire,6f,1320,TURF,3,3,78.150,0.434,0.072
Sligo,Eire,6f 21y,1341,TURF,3,3,78.750,0.607,0.100
Sligo,Eire,6f 61y,1381,TURF,3,3,81.850,0.825,0.131
Sligo,Eire,1m 2f 100y,2300,TURF,2,2,143.400,0.764,0.073
Sligo,Eire,1m 2f 120y,2320,TURF,3,3,141.770,2.445,0.232
Sligo,Eire,1m 2f 129y,2329,TURF,2,2,143.280,1.103,0.104
Sligo,Eire,1m 2f 158y,2358,TURF,3,3,154.800,2.543,0.237
Sligo,Eire,1m 5f 56y,2916,TURF,2,2,185.750,0.438,0.033
Sligo,Eire,1m 5f 103y,2963,TURF,2,2,189.435,1.633,0.121
Sligo,Eire,1m 5f 130y,2990,TURF,1,1,184.100,-,-
Sligo,Eire,1m 5f 190y,3050,TURF,1,1,196.770,-,-
Thirsk,ENG,5f,1100,TURF,45,45,58.250,0.871,0.174
Thirsk,ENG,6f,1320,TURF,50,50,70.750,1.038,0.173
Thirsk,ENG,7f,1540,TURF,42,42,86.690,1.591,0.227
Thirsk,ENG,7f 218y,1758,TURF,36,36,100.035,1.870,0.234
Thirsk,ENG,1m 4f 8y,2648,TURF,23,23,157.830,3.428,0.285
Thirsk,ENG,1m 6f,3080,TURF,4,4,187.355,3.791,0.271
Thirsk,ENG,2m 13y,3533,TURF,1,1,208.860,-,-
Thurles,Eire,1m 44y,1804,TURF,3,3,104.940,1.144,0.139
Thurles,Eire,1m 4f 132y,2772,TURF,2,2,165.145,2.680,0.213
Thurles,Eire,2m 66y,3586,TURF,2,2,218.670,3.309,0.203
Tipperary,Eire,5f,1100,TURF,13,13,58.400,2.167,0.433
Tipperary,Eire,7f 20y,1560,TURF,1,1,102.370,-,-
Tipperary,Eire,7f 100y,1640,TURF,6,6,98.340,2.366,0.317
Tipperary,Eire,7f 110y,1650,TURF,3,3,100.830,0.698,0.093
Tipperary,Eire,1m 1f,1980,TURF,9,9,123.820,4.264,0.474
Tipperary,Eire,1m 4f 100y,2740,TURF,2,2,173.755,0.502,0.040
Tipperary,Eire,1m 4f 110y,2750,TURF,3,3,174.010,1.846,0.148
Tipperary,Eire,1m 4f 115y,2755,TURF,1,1,167.960,-,-
Tramore,Eire,1m 4f,2640,TURF,20,20,162.045,2.157,0.180
Tramore,Eire,2m,3520,TURF,10,10,225.750,4.546,0.284
Wetherby,ENG,5f 110y,1210,TURF,15,15,64.750,0.979,0.178
Wetherby,ENG,7f,1540,TURF,11,11,85.360,1.039,0.148
Wetherby,ENG,1m,1760,TURF,10,10,99.095,1.022,0.128
Wetherby,ENG,1m 2f,2200,TURF,8,8,126.410,1.028,0.103
Windsor,ENG,5f 21y,1121,TURF,46,45,59.220,0.961,0.189
Windsor,ENG,6f 12y,1332,TURF,109,109,71.890,1.244,0.205
Windsor,ENG,1m 31y,1791,TURF,61,61,102.840,2.386,0.293
Windsor,ENG,1m 2f,2200,TURF,52,52,128.645,2.167,0.217
Windsor,ENG,1m 3f 99y,2519,TURF,44,44,148.565,2.894,0.253
Yarmouth,ENG,5f 42y,1142,TURF,38,38,61.185,1.160,0.223
Yarmouth,ENG,6f 3y,1323,TURF,56,56,72.470,1.924,0.320
Yarmouth,ENG,7f 3y,1543,TURF,57,57,84.890,2.230,0.318
Yarmouth,ENG,1m 3y,1763,TURF,60,60,98.245,2.241,0.280
Yarmouth,ENG,1m 1f 21y,2001,TURF,3,3,117.530,1.777,0.195
Yarmouth,ENG,1m 2f 23y,2223,TURF,38,38,127.780,2.242,0.222
Yarmouth,ENG,1m 3f 104y,2524,TURF,22,22,147.750,3.051,0.266
Yarmouth,ENG,1m 6f 17y,3097,TURF,12,12,186.110,3.916,0.278
York,ENG,5f,1100,TURF,32,32,58.625,0.993,0.199
York,ENG,5f 89y,1189,TURF,5,5,63.620,0.342,0.063
York,ENG,6f,1320,TURF,51,51,71.390,1.194,0.199
York,ENG,7f,1540,TURF,36,36,85.010,1.767,0.252
York,ENG,7f 192y,1732,TURF,22,22,98.475,1.590,0.202
York,ENG,1m 177y,1937,TURF,5,5,109.500,0.938,0.106
York,ENG,1m 2f 56y,2256,TURF,34,34,130.755,2.321,0.226
York,ENG,1m 3f 188y,2608,TURF,20,20,153.050,2.374,0.200
York,ENG,1m 5f 188y,3048,TURF,14,14,180.840,3.328,0.240
York,ENG,2m 56y,3576,TURF,10,10,215.390,3.311,0.204
