race_source_id,race_date,course,distance,distance_yards,segment,surface,going,actual,base_standard,base_sample,deviation_seconds,deviation_per_f,same_day_adj_per_f,same_day_peer_count,same_day_stdev_per_f,conservative_same_day_adj_per_f,historical_adj_per_f,historical_fallback_sample_size,conservative_historical_adj_per_f,base_abs_error,same_day_abs_error,conservative_same_day_abs_error,fallback_abs_error,conservative_hierarchy_abs_error,conservative_hierarchy_method
836798,2025-01-01,Fakenham,2m 4f 1y,4401,jumps,TURF,Good,321.34,311.25,15,10.089999999999975,0.5043853669620528,0.9044184041259868,6,0.47778745596857625,,,0,,10.089999999999975,8.002479075265796,,,10.089999999999975,base
836811,2025-01-01,Southwell,1m 7f 182y,3482,jumps,TURF,Soft (Heavy in places),256.94,244.65,37,12.289999999999992,0.7765077541642729,0.8522840934126468,6,1.2303255265195783,,,0,,12.289999999999992,1.199332787558376,,,12.289999999999992,base
836799,2025-01-01,Fakenham,2m 5f 44y,4664,jumps,TURF,Good to Soft,345.73,338.56,12,7.170000000000016,0.3382075471698121,0.9044184041259868,6,0.47778745596857625,,,0,,7.170000000000016,12.003670167470887,,,7.170000000000016,base
834740,2025-01-01,Cheltenham,2m 62y,3582,jumps,TURF,Soft,261.29,243.95,3,17.340000000000032,1.0649916247906217,0.9474736056900734,6,0.0715282976806722,0.9474736056900734,,0,,17.340000000000032,1.913407020082559,1.913407020082559,,1.913407020082559,same_day
837296,2025-01-01,Exeter,3m 54y,5334,jumps,TURF,Soft (Good to Soft in places),398.27,381.055,14,17.214999999999975,0.7100299962504676,0.9135289323553397,6,0.12859128978251655,0.9135289323553397,,0,,17.214999999999975,4.933924205379014,4.933924205379014,,4.933924205379014,same_day
836812,2025-01-01,Southwell,3m 60y,5340,jumps,TURF,Soft (Heavy in places),414.28,394.275,30,20.004999999999995,0.8241760299625466,0.8338204322510177,6,1.2303255265195783,,,1,,20.004999999999995,0.23409594645653442,,,20.004999999999995,base
836772,2025-01-01,Musselburgh,1m 7f 124y,3424,jumps,TURF,Soft (Good to Soft in places),243.39,226.9,13,16.48999999999998,1.059521028037382,0.9766355140186909,5,0.1392829893450244,0.9766355140186909,,1,,16.48999999999998,1.289999999999992,1.289999999999992,,1.289999999999992,same_day
836778,2025-01-01,Catterick,2m 3f 66y,4246,jumps,TURF,Soft (Good to Soft in places),293.12,286.5,11,6.6200000000000045,0.34300518134715047,0.4653746159300396,5,0.07500693836952084,0.4653746159300396,0.8847755121439247,2,,6.6200000000000045,2.3617300874497573,2.3617300874497573,10.45616738437775,2.3617300874497573,same_day
836800,2025-01-01,Fakenham,2m 3y,3523,jumps,TURF,Good to Soft,258.11,242.68,19,15.430000000000007,0.9635537893840482,0.674834192914989,6,0.47778745596857625,,,1,,15.430000000000007,4.623450628911343,,,15.430000000000007,base
834741,2025-01-01,Cheltenham,2m 4f 56y,4456,jumps,TURF,Soft,318.06,299.71500000000003,8,18.34499999999997,0.9057226211849178,0.9723670135586224,6,0.0715282976806722,0.9723670135586224,,1,,18.34499999999997,1.3498518746237664,1.3498518746237664,,1.3498518746237664,same_day
836805,2025-01-01,Exeter,2m 3f 48y,4228,jumps,TURF,Soft (Good to Soft in places),314.63,298,11,16.629999999999995,0.8653263954588455,0.9135289323553397,6,0.12859128978251655,0.9135289323553397,0.7100299962504676,3,,16.629999999999995,0.9263651181744308,0.9263651181744308,2.98451443569553,0.9263651181744308,same_day
836813,2025-01-01,Southwell,2m 4f 88y,4488,jumps,TURF,Soft (Heavy in places),337.09000000000003,319.13,33,17.960000000000036,0.880392156862747,0.8057123688009173,6,1.2303255265195783,,0.8003418920634098,2,,17.960000000000036,1.5234676764613369,,1.6330254019064796,17.960000000000036,base
836773,2025-01-01,Musselburgh,2m 4f 68y,4468,jumps,TURF,Soft (Good to Soft in places),336.06,312.63,7,23.430000000000007,1.1536705461056405,0.9766355140186909,5,0.1392829893450244,0.9766355140186909,0.7876781958546566,4,,23.430000000000007,3.595420560747698,3.595420560747698,7.4329719132790615,3.595420560747698,same_day
836779,2025-01-01,Catterick,2m 3f 51y,4231,jumps,TURF,Soft,307.05,298.1,7,8.949999999999989,0.4653746159300396,0.38827285921625443,5,0.07500693836952084,0.38827285921625443,0.9853571229877698,2,,8.949999999999989,1.4828069666182842,1.4828069666182842,10.000209033460237,1.4828069666182842,same_day
836801,2025-01-01,Fakenham,2m 7f 95y,5155,jumps,TURF,Good to Soft,403.62,364.05,7,39.56999999999999,1.6887293889427737,0.674834192914989,6,0.47778745596857625,,0.6508806682769301,2,,39.56999999999999,23.757407888741966,,24.318682522874667,39.56999999999999,base
834742,2025-01-01,Cheltenham,3m 1f 56y,5556,jumps,TURF,Soft,423.4,399.01,5,24.389999999999986,0.9657667386609066,0.9540738805877893,6,0.0715282976806722,0.9540738805877893,0.9057226211849178,3,,24.389999999999986,0.29529781570107616,0.29529781570107616,1.5163868940754242,0.29529781570107616,same_day
836806,2025-01-01,Exeter,2m 5f 137y,4757,jumps,TURF,Soft,349.17,331.93,9,17.24000000000001,0.797309228505361,0.9135289323553397,6,0.12859128978251655,0.9135289323553397,0.9357446799229121,4,,17.24000000000001,2.512986960065234,2.512986960065234,2.9933520108785956,2.512986960065234,same_day
836814,2025-01-01,Southwell,3m 60y,5340,jumps,TURF,Soft (Heavy in places),419.08,394.275,30,24.805000000000007,1.021928838951311,0.8057123688009173,6,1.2303255265195783,,0.8241760299625466,3,,24.805000000000007,5.248163411832309,,4.800000000000011,24.805000000000007,base
836774,2025-01-01,Musselburgh,2m 3f 171y,4351,jumps,TURF,Soft (Good to Soft in places),325.23,302.57,10,22.660000000000025,1.1457595954952897,0.9766355140186909,5,0.1392829893450244,0.9766355140186909,0.8653263954588455,5,,22.660000000000025,3.344813084112161,3.344813084112161,5.546203878902588,3.344813084112161,same_day
836784,2025-01-01,Newcastle,6f,1320,all_weather_flat,ALLWEATHER,Standard,76.57,73.45,125,3.1199999999999903,0.5199999999999984,0.006333333333333496,6,0.2303329576523263,0.006333333333333496,,0,,3.1199999999999903,3.0819999999999936,3.0819999999999936,,3.0819999999999936,same_day
836780,2025-01-01,Catterick,1m 7f 156y,3456,jumps,TURF,Soft,236.2,230.4,15,5.799999999999983,0.36921296296296185,0.4653746159300396,5,0.07500693836952084,0.4653746159300396,0.9057226211849178,5,,5.799999999999983,1.5106121484282653,1.5106121484282653,8.428078994613998,1.5106121484282653,same_day
836802,2025-01-01,Fakenham,2m 5f 44y,4664,jumps,TURF,Good to Soft,356.48,338.56,12,17.920000000000016,0.8452830188679253,0.7339695781730505,6,0.47778745596857625,,0.9635537893840482,3,,17.920000000000016,2.3598449427313426,,2.50734033494183,17.920000000000016,base
834739,2025-01-01,Cheltenham,2m 4f 127y,4527,jumps,TURF,Soft,331.64,312.52,13,19.120000000000005,0.9291804727192403,0.9723670135586224,6,0.0715282976806722,0.9723670135586224,0.8515159248451394,6,,19.120000000000005,0.8886612289994673,0.8886612289994673,1.598124582845685,0.8886612289994673,same_day
836807,2025-01-01,Exeter,2m 5f 137y,4757,jumps,TURF,Soft,354.29,331.93,9,22.360000000000014,1.0340971200336353,0.8879335047112216,6,0.12859128978251655,0.8879335047112216,0.9057226211849178,7,,22.360000000000014,3.1604559913124035,3.1604559913124035,2.7758067773788753,3.1604559913124035,same_day
836815,2025-01-01,Southwell,2m 4f 88y,4488,jumps,TURF,Soft (Heavy in places),398.54,319.13,33,79.41000000000003,3.892647058823531,0.8057123688009173,6,1.2303255265195783,,0.8522840934126468,4,,79.41000000000003,62.973467676461325,,62.02340449438202,79.41000000000003,base
836775,2025-01-01,Musselburgh,2m 4f 68y,4468,jumps,TURF,Soft,331.89,312.63,7,19.25999999999999,0.948343777976723,1.059521028037382,5,0.1392829893450244,1.059521028037382,0.917451546952079,8,,19.25999999999999,2.2579088785046793,2.2579088785046793,0.6273931282641456,2.2579088785046793,same_day
836785,2025-01-01,Newcastle,1m 2f 42y,2242,all_weather_flat,ALLWEATHER,Standard,133.95,133.27499999999998,60,0.6750000000000114,0.06623550401427408,0.006333333333333496,6,0.2303329576523263,0.006333333333333496,,1,,0.6750000000000114,0.6104575757575788,0.6104575757575788,,0.6104575757575788,same_day
836781,2025-01-01,Catterick,1m 7f 145y,3445,jumps,TURF,Soft,242.1,236.02,5,6.079999999999984,0.38827285921625443,0.4653746159300396,5,0.07500693836952084,0.4653746159300396,0.9291804727192403,9,,6.079999999999984,1.207343417631762,1.207343417631762,8.470121493262667,1.207343417631762,same_day
836803,2025-01-01,Fakenham,2m 4f 1y,4401,jumps,TURF,Good to Soft,318.05,311.25,15,6.800000000000011,0.3399227448307209,0.9044184041259868,6,0.47778745596857625,,0.9044184041259868,4,,6.800000000000011,11.29247907526576,,11.29247907526576,6.800000000000011,base
834743,2025-01-01,Cheltenham,2m 7f 213y,5273,jumps,TURF,Soft,383.47,359.11,7,24.360000000000014,1.0163474303053295,0.9474736056900734,6,0.0715282976806722,0.9474736056900734,0.917451546952079,10,,24.360000000000014,1.6507803508920347,1.6507803508920347,2.370354513280404,1.6507803508920347,same_day
836808,2025-01-01,Exeter,2m 161y,3681,jumps,TURF,Soft,268.73,253.39499999999998,24,15.335000000000036,0.9165172507470818,0.8879335047112216,6,0.12859128978251655,0.8879335047112216,0.9291804727192403,11,,15.335000000000036,0.4782580416272708,0.4782580416272708,0.21187872763414362,0.4782580416272708,same_day
836816,2025-01-01,Southwell,1m 7f 182y,3482,jumps,TURF,Soft (Heavy in places),246.24,244.65,37,1.5900000000000034,0.10045950603101687,0.8522840934126468,6,1.2303255265195783,,0.880392156862747,5,,1.5900000000000034,11.899332787558365,,12.344206773618566,1.5900000000000034,base
836776,2025-01-01,Musselburgh,2m 7f 180y,5240,jumps,TURF,Soft,383.25,364.55,7,18.69999999999999,0.7851145038167935,1.059521028037382,5,0.1392829893450244,1.059521028037382,0.922848861733161,12,,18.69999999999999,6.5358644859812784,6.5358644859812784,3.2805819794625677,6.5358644859812784,same_day
836786,2025-01-01,Newcastle,2m 56y,3576,all_weather_flat,ALLWEATHER,Standard,218.06,219.68,24,-1.6200000000000045,-0.09966442953020163,0.056117752007137436,6,0.2303329576523263,0.056117752007137436,0.2931177520071362,2,,1.6200000000000045,2.5321685508069436,2.5321685508069436,6.384495823534195,2.5321685508069436,same_day
836782,2025-01-01,Catterick,3m 1f 71y,5571,jumps,TURF,Soft,396.55,383.115,6,13.435000000000002,0.5305510680308743,0.38827285921625443,5,0.07500693836952084,0.38827285921625443,0.9165172507470818,13,,13.435000000000002,3.6028722786647336,3.6028722786647336,9.773716381418126,3.6028722786647336,same_day
836804,2025-01-01,Fakenham,2m 7f 95y,5155,jumps,TURF,Good to Soft,387.46,364.05,7,23.409999999999968,0.999068865179436,0.674834192914989,6,0.47778745596857625,,0.8452830188679253,5,,23.409999999999968,7.597407888741941,,3.6034819897083707,23.409999999999968,base
834744,2025-01-01,Cheltenham,2m 4f 56y,4456,jumps,TURF,Soft,316.92,299.71500000000003,8,17.204999999999984,0.8494389587073601,0.9723670135586224,6,0.0715282976806722,0.9723670135586224,0.9111199359659998,14,,17.204999999999984,2.489851874623753,2.489851874623753,1.2493201575659327,2.489851874623753,same_day
836809,2025-01-01,Exeter,2m 3f 48y,4228,jumps,TURF,Soft,318.79,298,11,20.79000000000002,1.0817880794701997,0.8879335047112216,6,0.12859128978251655,0.8879335047112216,0.9057226211849178,15,,20.79000000000002,3.7255324640043455,3.7255324640043455,3.383657989228084,3.7255324640043455,same_day
