race_source_id,date,course,distance,distance_yards,going,runner,finish_position,or,base_rating,same_day_rating,historical_fallback_rating,base_standard,actual,deviation_seconds,deviation_per_f,standard_sample_size,standard_sample_stdev,same_day_peers,same_day_stdev,historical_sample,likely_cause
840232,2025-01-23,Wetherby,3m 26y,5306,Soft,So Ladylike,4,77,-187.25,-73.52,-122.54,361.35,417.90,56.55,2.34,9,22.83,6,0.71,60,high_dispersion_standard
891843,2025-11-29,Doncaster,2m 128y,3648,Soft,Frenati,8,,387.25,429.62,452.10,240.61,194.02,-46.59,-2.81,17,7.78,6,1.26,218,bad_or_implausible_winning_time_or_configuration
840231,2025-01-23,Wetherby,3m 26y,5306,Soft,Walk My Way,7,69,-179.15,-64.65,-116.39,361.35,415.10,53.75,2.23,9,23.49,6,0.71,58,high_dispersion_standard
840232,2025-01-23,Wetherby,3m 26y,5306,Soft,The Questioner,3,93,-178.75,-65.02,-114.04,361.35,417.90,56.55,2.34,9,22.83,6,0.71,60,high_dispersion_standard
840231,2025-01-23,Wetherby,3m 26y,5306,Soft,Lady's Present,6,79,-177.65,-63.15,-114.89,361.35,415.10,53.75,2.23,9,23.49,6,0.71,58,high_dispersion_standard
845371,2025-02-26,Bangor-on-Dee,2m 4f 72y,4472,Heavy,Ballybegg,3,115,-177.38,-1.35,-75.16,302.99,345.27,42.28,2.08,8,12.89,6,0.39,38,bad_or_implausible_winning_time_or_configuration
840232,2025-01-23,Wetherby,3m 26y,5306,Soft,Take A Hike,2,79,-174.75,-61.02,-110.04,361.35,417.90,56.55,2.34,9,22.83,6,0.71,60,high_dispersion_standard
840231,2025-01-23,Wetherby,3m 26y,5306,Soft,Entity Of Substanz,5,98,-174.15,-59.65,-111.39,361.35,415.10,53.75,2.23,9,23.49,6,0.71,58,high_dispersion_standard
885397,2025-10-21,Perth,2m 7f 207y,5267,Soft,Maura Jeanne,6,94,-174.02,-39.07,-108.70,364.17,418.88,54.71,2.29,12,8.82,7,0.41,156,bad_or_implausible_winning_time_or_configuration
840231,2025-01-23,Wetherby,3m 26y,5306,Soft,Glory Hights,4,92,-173.65,-59.15,-110.89,361.35,415.10,53.75,2.23,9,23.49,6,0.71,58,high_dispersion_standard
889940,2025-11-18,Kelso,2m 51y,3571,Soft,Rafferty's Return,6,114,-172.48,-119.96,-131.39,240.88,294.47,53.60,3.30,24,8.07,5,1.25,205,bad_or_implausible_winning_time_or_configuration
840231,2025-01-23,Wetherby,3m 26y,5306,Soft,Boolamore Classic,3,84,-170.90,-56.40,-108.14,361.35,415.10,53.75,2.23,9,23.49,6,0.71,58,high_dispersion_standard
840232,2025-01-23,Wetherby,3m 26y,5306,Soft,Paddy O'Mahler,1,92,-169.25,-55.52,-104.54,361.35,417.90,56.55,2.34,9,22.83,6,0.71,60,high_dispersion_standard
845774,2025-02-28,Ffos Las,2m 7f 191y,5251,Heavy,Tillaway,5,96,-167.54,-3.99,-39.83,365.08,409.37,44.29,1.86,9,10.69,5,0.20,44,bad_or_implausible_winning_time_or_configuration
885397,2025-10-21,Perth,2m 7f 207y,5267,Soft,Dalileo,5,93,-167.02,-32.07,-101.70,364.17,418.88,54.71,2.29,12,8.82,7,0.41,156,bad_or_implausible_winning_time_or_configuration
845376,2025-02-26,Bangor-on-Dee,2m 7f 32y,5092,Heavy,Farmer Jimmy,5,98,-166.64,29.28,-47.33,348.89,402.21,53.32,2.30,13,12.85,6,0.39,42,bad_or_implausible_winning_time_or_configuration
845774,2025-02-28,Ffos Las,2m 7f 191y,5251,Heavy,Edmond,4,90,-164.79,-1.24,-37.08,365.08,409.37,44.29,1.86,9,10.69,5,0.20,44,bad_or_implausible_winning_time_or_configuration
885397,2025-10-21,Perth,2m 7f 207y,5267,Soft,Stiletto,4,100,-163.77,-28.82,-98.45,364.17,418.88,54.71,2.29,12,8.82,7,0.41,156,bad_or_implausible_winning_time_or_configuration
885397,2025-10-21,Perth,2m 7f 207y,5267,Soft,Coffeys Forge,3,100,-161.77,-26.82,-96.45,364.17,418.88,54.71,2.29,12,8.82,7,0.41,156,bad_or_implausible_winning_time_or_configuration
845773,2025-02-28,Ffos Las,2m 4f,4400,Heavy,Nil Vert,7,,-161.56,-6.49,-53.20,303.58,330.76,27.18,1.36,26,13.46,5,0.20,43,unusually_slow_or_fast_going
840231,2025-01-23,Wetherby,3m 26y,5306,Soft,Wearelongterm,2,93,-159.90,-45.40,-97.14,361.35,415.10,53.75,2.23,9,23.49,6,0.71,58,high_dispersion_standard
845376,2025-02-26,Bangor-on-Dee,2m 7f 32y,5092,Heavy,Getaway With You,4,81,-159.64,36.28,-40.33,348.89,402.21,53.32,2.30,13,12.85,6,0.39,42,bad_or_implausible_winning_time_or_configuration
889940,2025-11-18,Kelso,2m 51y,3571,Soft,Dee's Getaway,5,103,-158.48,-105.96,-117.39,240.88,294.47,53.60,3.30,24,8.07,5,1.25,205,bad_or_implausible_winning_time_or_configuration
885397,2025-10-21,Perth,2m 7f 207y,5267,Soft,I Wish You,2,111,-158.27,-23.32,-92.95,364.17,418.88,54.71,2.29,12,8.82,7,0.41,156,bad_or_implausible_winning_time_or_configuration
891843,2025-11-29,Doncaster,2m 128y,3648,Soft,Emeralds Apart,9,,358.25,400.62,423.10,240.61,194.02,-46.59,-2.81,17,7.78,6,1.26,218,bad_or_implausible_winning_time_or_configuration
844852,2025-02-23,Fontwell,3m 1f 210y,5710,Heavy (Soft in Places),Abbeyhill,4,78,-158.09,-44.36,-,406.70,454.00,47.30,1.82,13,12.64,6,0.47,1,bad_or_implausible_winning_time_or_configuration
885397,2025-10-21,Perth,2m 7f 207y,5267,Soft,Spit Spot,1,110,-157.97,-23.02,-92.65,364.17,418.88,54.71,2.29,12,8.82,7,0.41,156,bad_or_implausible_winning_time_or_configuration
840231,2025-01-23,Wetherby,3m 26y,5306,Soft,The Big Breac,1,90,-157.65,-43.15,-94.89,361.35,415.10,53.75,2.23,9,23.49,6,0.71,58,high_dispersion_standard
845376,2025-02-26,Bangor-on-Dee,2m 7f 32y,5092,Heavy,Superior Glance,3,93,-157.39,38.53,-38.08,348.89,402.21,53.32,2.30,13,12.85,6,0.39,42,bad_or_implausible_winning_time_or_configuration
845376,2025-02-26,Bangor-on-Dee,2m 7f 32y,5092,Heavy,Goguenard,2,81,-156.64,39.28,-37.33,348.89,402.21,53.32,2.30,13,12.85,6,0.39,42,bad_or_implausible_winning_time_or_configuration
